"","earn","height","sex","race","ed","age"
"1",79571.299011024,73.89,"male","white",16,49
"2",96396.9886433106,66.23,"female","white",16,62
"3",48710.666947391,63.77,"female","white",16,33
"4",80478.0961525837,63.22,"female","other",16,95
"5",82089.3454983326,63.08,"female","white",17,43
"6",15313.3529014342,64.53,"female","white",15,30
"7",47104.1718212293,61.54,"female","white",12,53
"8",50960.0542820731,73.29,"male","white",17,50
"9",3212.6495560539,72.24,"male","hispanic",15,25
"10",42996.6378844038,72.4,"male","white",12,30
"11",10328.6188426045,70.22,"male","white",16,69
"12",1002.30715511839,63.15,"female","white",14,54
"13",47597.8198637099,68.11,"male","white",11,38
"14",19019.5422985066,68.08,"male","white",12,31
"15",20063.9966387225,64.86,"female","white",12,55
"16",992.832346303227,60.06,"female","white",12,31
"17",35972.1711232638,66.01,"female","white",16,39
"18",26930.5439643451,68.07,"male","white",12,62
"19",64602.0639724231,68.16,"female","white",14,33
"20",69993.6930698179,70.02,"male","white",13,48
"21",1000.21830625211,67.08,"female","white",9,25
"22",12131.8221152514,64.2,"female","black",12,59
"23",84223.3979186057,72.76,"male","black",13,39
"24",8949.47493547637,62.17,"female","white",13,55
"25",23278.3232780607,63.04,"female","white",14,25
"26",8750.13918500201,66.67,"male","white",14,26
"27",64593.5998054014,65.95,"female","white",12,45
"28",54079.8149454029,71.69,"male","white",12,49
"29",16896.1000435301,62.76,"female","black",12,39
"31",43938.8576046547,64.07,"female","white",16,64
"32",1004.09561369181,60,"female","white",12,48
"33",79478.0468181047,71.97,"male","white",16,42
"34",984.761813301634,68.25,"female","white",12,59
"35",65237.7700476547,76.68,"male","white",16,37
"36",978.872090839732,63.77,"female","white",10,23
"37",24845.4285917486,63.96,"female","white",14,29
"38",40754.1029736281,63.72,"female","white",12,37
"39",119251.055119839,71.92,"male","white",17,43
"40",42933.0122551917,68.12,"male","white",17,35
"41",20088.3114644238,64.48,"female","white",12,30
"42",12924.2239977829,60.94,"female","white",14,82
"43",48693.4797964477,67.19,"female","black",14,35
"44",34383.101849067,65.05,"female","white",12,61
"45",43928.4198331574,64.17,"female","white",14,30
"46",5782.248948451,66.49,"female","white",15,69
"47",40758.5577226173,65.58,"female","white",12,34
"48",39162.8754520925,64.93,"female","white",12,45
"49",51896.846670074,67.02,"female","white",18,33
"50",16905.1408589265,67.49,"female","white",17,34
"51",1000.99111084442,70.03,"female","white",12,61
"52",18497.8538930071,60.61,"female","hispanic",12,25
"53",30740.47803689,64.92,"female","white",13,36
"54",32803.4426895406,62,"female","white",12,33
"55",5529.47149841489,72.16,"male","white",10,22
"56",20594.711211041,66.35,"male","black",8,60
"57",39816.5002027645,70.09,"male","white",12,69
"58",33327.5987832144,70.05,"male","white",17,45
"59",55067.7931193718,68.49,"female","white",17,53
"60",10545.4502477035,60.13,"female","white",12,69
"61",26979.2976737281,71.15,"male","white",12,32
"62",55634.1696790621,70.77,"male","white",12,36
"63",6380.09148122974,72.87,"male","white",13,22
"64",23264.3741899011,68,"female","white",14,59
"65",16918.2189161501,65.64,"female","white",12,61
"66",39676.2644997822,68.74,"male","white",16,33
"67",994.133503863912,63.02,"female","white",8,67
"68",26420.8322535518,62.8,"female","white",14,31
"69",986.449291094241,65.99,"female","black",13,34
"70",986.993627550926,64.66,"female","white",12,30
"71",25550.7559075621,62.04,"male","hispanic",14,32
"72",27235.2680173859,64.24,"female","white",14,47
"73",7354.05363222349,63.82,"female","white",9,72
"74",7101.32415873714,66.95,"female","white",9,56
"75",35041.7055007873,71.28,"male","white",12,43
"76",1318.87555348029,59.63,"female","white",16,57
"77",42343.3439688464,66.34,"female","white",16,31
"78",4985.24601643037,66,"female","white",15,25
"79",28022.6386657665,65.49,"female","white",14,43
"80",13729.6720245917,69.96,"female","white",13,26
"81",991.599966272541,64.79,"female","white",13,67
"82",20074.7729832596,66.35,"female","white",13,72
"83",16901.6558792008,62.09,"female","white",12,51
"84",16899.2184171763,65.83,"female","white",15,71
"85",999.338097135203,63.78,"female","white",14,42
"86",23831.5316537746,71.81,"male","white",12,43
"87",4812.71528146838,67.12,"female","hispanic",8,43
"88",47742.1252747604,68.19,"male","hispanic",12,36
"89",47655.590724269,69.76,"male","white",12,37
"90",16892.6857012084,61.91,"female","white",12,42
"91",8934.46253020389,63.29,"female","white",13,30
"92",20099.9218436585,65.48,"female","white",13,67
"93",32803.3025937337,69.75,"female","white",10,65
"94",32811.8623722485,68.09,"female","white",12,40
"95",31765.8967813837,70.21,"male","white",14,27
"96",1001.00043870299,65.99,"female","white",12,63
"97",2907.2064170387,66.23,"female","white",12,24
"98",2115.67589682381,67.79,"female","white",16,36
"99",31884.9092385098,69.94,"male","white",16,31
"100",16905.0220799872,60.75,"female","hispanic",12,26
"101",48686.3352313777,62.9,"female","white",12,77
"102",64606.3235215003,63.47,"female","white",14,60
"103",39751.1940297085,67.14,"male","white",12,93
"104",16881.7141614142,60.66,"female","white",17,83
"105",96382.8900908101,69.55,"female","white",18,67
"106",986.228613755399,63.46,"female","white",12,25
"107",29618.8251244886,67.83,"female","white",12,70
"108",26500.2429561617,64.39,"female","white",12,37
"109",24854.9727381481,67.01,"female","black",14,34
"110",15885.5195104926,68.79,"male","white",17,27
"111",53463.6223523582,67.05,"female","white",13,47
"112",29627.8222039787,67.83,"female","white",12,34
"113",24843.1748606049,63.03,"female","white",12,41
"114",33438.2100886863,70.97,"male","white",12,26
"115",34374.0790977282,63.91,"female","black",17,47
"116",58834.1668506326,68.22,"male","white",11,41
"117",61429.1854058301,68.43,"female","white",17,48
"118",28014.7345560315,65.53,"female","hispanic",14,47
"119",981.65670365787,66.13,"female","white",12,33
"120",996.182111287872,66.31,"female","other",16,36
"121",50924.6583604247,77.12,"male","white",16,34
"122",44729.6150466756,67.17,"female","white",12,62
"123",27223.3656953101,62.11,"female","white",12,48
"124",1007.70988015799,64.5,"female","white",17,34
"125",996.828601796463,71.96,"female","white",12,55
"126",40750.0226434449,67.42,"female","white",18,39
